Welche der folgenden im Internet verfügbaren Datenbanken liefert keine Informationen über Bezugsquellen?<br><br>1. IHK-Datenbank<br><br>2. Gelbe Seiten<br><br>3. Schufa-Datei<br><br>4. Wer liefert was?<br><br>5. ABC der deutschen Wirtschaft;<br><br>3. Schufa-Datei
Die volkswirtschaftliche Arbeitsteilung unterteilt Unternehmen in verschiedene Sektoren. Welche der nachfolgenden Unternehmen sind dem sekundären Sektor zuzuordnen.;1. Sägewerk<br><br>2. Hochseefischerei<br><br>3. Tierhandlung<br><br>4. Fahrrad-Hersteller<br><br>5. Reisebüro<br><br>6. landwirtschaftlicher Betrieb<br><br>7. Kreditinstitut<br><br>8. Mineralölraffinerie<br><br>9. Diskothek;<br><br>1. Sägewerk<br><br>4. Fahrrad-Hersteller<br><br>8. Mineralölraffinerie
Das ökonomische Prinzip hat zwei Ausprägungen:<br><br>a) Minimalprinzip<br><br>b) Maximalprinzip<br><br>Welche der folgenden Aussagen passt zu der Ausprägung des Minimalprinzips.<br><br>1. Mit geringsten Mittel einen gegebenen Erfolg erzielen.<br><br>2. den größtmöglichen Erfolg mit gegebenen Mittel erzielen.<br><br>3. Markenware soll mit der größtmöglichen Gewinnspanne verkauft werden.<br><br>4. Mit wenig Mitarbeitern soll maximaler Umsatz erzielt werden.;2. den größtmöglichen Erfolg mit gegebenen Mittel erzielen.
Welche der folgenden Aussagen zum Begriff >Markt< sind korrekt.<br><br>1. Der Markt ist der Ort, an dem Anbieter und Nachfrager aufeinandertreffen.<br><br>2. Das Ergebnis des ökonomischen Geschehens auf einem Markt ist der Preis.<br><br>3. Über einen Konsumplan wollen die Nachfrager am Markt einem möglichst hohen Gewinn realisieren.<br><br>4. Ein Wochenmarkt unterliegt im Prinzip nicht den gleichen Marktgesetzen wie die Börse.<br><br>5. Jeder Markt istin seiner Grundstruktur darauf angelegt. einen Wettbewerb zwischen den Marktteilnehmern zu vermeiden.;1. Der Markt ist der Ort, an dem Anbieter und Nachfrager aufeinandertreffen.<br><br>2. Das Ergebnis des ökonomischen Geschehens auf einem Markt ist der Preis.
Welche folgende Aussage zum vollkommenen Markt und zur Preisbildung auf diesem Markt ist richtig.<br><br>1. Der Marktpreis wird ausschließlich von den Nachfragern bestimmt.<br><br>2. Der Gleichgewichtspreis ist der Preis, bei dem die angebotene Menge gleich der nachgefragten Menge ist.<br><br>3. Die angebotene Menge ist umso größer, je niedriger der Preis ist.<br><br>4. Liegt der Preis unterhalb des Gleichgewichtspreises, spricht man von einem Angebotsüberschuss.<br><br>5. Je größer der Angebotsüberschuss, desto größer die Menge, die am Markt umgesetzt wird.<br><br>6. Die Bedingungen des vollkommenen Marktes treffen in der Realität für fast alle im Einzelhandel angebotenen Waren zu.;2. Der Gleichgewichtspreis ist der Preis, bei dem die angebotene Menge gleich der nachgefragten Menge ist.
Welches Recht steht im Gegensatz zum Nicht-Kaufmann nur dem Kaufmann nach HGB zu?<br><br>1. Erteilen einer Handlungsvollmacht<br><br>2. Erteilen von Prokura<br><br>3. Eingehen von Wechselverbindlichkeiten<br><br>4. Einstellen von Mitarbeitern;2. Erteilen von Prokura
Welche Reihenfolge für die Konkretisierung des Kaufwunsches ist richtig?<br><br>1. Bedürfnisse-Nachfrage-Bedarf<br><br>2. Bedarf-Nachfrage-Bedürfnisse<br><br>3. Bedürfnisse-Bedarf-Nachfrage<br><br>4. Nachfrage-Bedarf-Bedürfnisse;3. Bedürfnisse-Bedarf-Nachfrage
Durch einen Annahmeverzug entstehen Haftungsminderungen, dabei wird unterschieden zwischen grober Fahrlässigkeit, leichter Fahrlässigkeit und Vorsatz. Welche der nachfolgenden Aussagen ist eine >Vorsatz«?<br><br>1. Beim Transport der Ware vom Fertiglager | in das Fertiglager Il gerät der Erfüllungsgehilfe aufgrund seiner nicht rutschfesten Schuhsohlen ins Schwanken und beschädigt die Ware durch den Aufprall auf den Boden.<br><br>2. Der Arbeitnehmer benutzt für den Versand der Ware aus Kostengründen die einfache einwellige Verpackung, obwohl eine stabile dreiwellige Verpackung vereinbart war. Der Arbeitnehmer hofft. dass kein Transportschaden eintritt.<br><br>3. Der Lagerarbeiter legt im Einkaufswarenlager einen Brand, um den Diebstahl von Waren zu verheimlichen.;Der Lagerarbeiter legt im Einkaufswarenlager einen Brand, um den Diebstahl von Waren zu verheimlichen.
Überprüfen sie folgende Angaben zur Einzelunternehmung. Welche Angabe ist falsch?<br><br>1. Die Firma bei Einzelkaufleuten muss die Bezeichnung eingetragener Kaufmann‘, „eingetragene Kauffrau" oder die allgemein verständliche Abkürzung dieser Begriffe beinhalten.<br><br>2. Einzelunternehmer können wahlweise eine Kapitalgesellschaft oder eine Personengesellschaft wählen.<br><br>3. Die Haftung für Verbindlichkeiten bezieht sich auf das Geschäfts- und Privatvermögen.;2. Einzelunternehmer können wahlweise eine Kapitalgesellschaft oder eine Personengesellschaft wählen.<br><br>
Welches nachfolgende Rechtsgeschäft ist nichtig?<br><br>1. Der 7-jährige Fin kauft sich für 1,00€ ein Eis.<br><br>2. Die 18-jährige Auszubildende benutzt Ihr gespartes Geld zum Kauf eines Autos<br><br>3. Die Zwillinge Hanni und Nanni (10 Jahre alt) kaufen von ihrem Taschengeld jeweils ein Erfrischungsgetränk ‚gegen den Durst. Die Eltern sind mit dem Kauf nicht einverstanden.<br><br>4. Die 25-jährige Auszubildende benutzt ihre Ausbildungsvergütung zum Kauf eines gebrauchten Smartphone. Die Eltern wurden nicht gefragt.<br><br>Die 6-jährige Ulrike kauft sich von ihrem Taschengeld mehrere Sticker mit Barenmotiven für 8,80 EUR.;Die 6-jährige Ulrike kauft sich von ihrem Taschengeld mehrere Sticker mit Barenmotiven für 8,80 EUR.
Welche der folgenden Institutionen ist seit 1999 verantwortlich für die Geldpolitik in der Europäischen Wirtschafts- und Währungsunion?<br><br>1. Deutscher Sparkassen- und Giroverband<br><br>2. Bundesminister für Finanzen<br><br>3. Bundesminister für Wirtschaft<br><br>4. Europäische Zentralbank<br><br>5. Verband der Raiffeisen- und Volksbanken<br><br>6. Deutsche Bank;4. Europäische Zentralbank
Überprüfen sie nachfolgende Aussagen zum Thema Handelsregister. Welche Aussage ist richtig?<br><br>1. Das Handelsregister ist das "Verzeichnis der Schufa” für bestimmte Kaufleute. Hierzu zählen nur Kaufleute, die einen nach Art und Umfang eingerichteten Geschäftsbelrieb besitzen.<br><br>2. Das Handelsregister wird zentral von Sozialgericht füralle Kaufleute geführt.<br><br>3. Das Handelsregister ist das amtliche Verzeichnis der Kaufleute.<br><br>4. Das Handelsregister wird von der IHK bzw. der Handwerkskammer geführt.<br><br>;4. Das Handelsregister ist das amtliche Verzeichnis der Kaufleute.
Welches Ziel ist nicht im Gesetz zur Förderung der Stabilität und des Wachstums der Wirtschaft enthalten?<br><br>1. Hoher Beschäftigungsstand<br><br>2. Stabilität<br><br>3. Gerechte Einkommensverteilung<br><br>4. Außenwirtschaftliches Gleichgewicht<br><br>5. Stetiges und angemessenes Wirtschaftswachstum;3. Gerechte Einkommensverteilung
In der Wirtschaft lassen sich vielfältige Zusammenschlüsse von Unternehmen feststellen.<br><br>Überprüfen Sie, bei welchem Zusammenschluss die wirtschaftliche Selbstständigkeit des beteiligten Unternehmens vollständig verloren geht, die rechtliche Selbstständigkeit ‚jedoch erhalten bleibt. Welche Aussage ist richtig?<br><br>1. Fusion<br><br>2. Arbeitsgemeinschaft<br><br>3. Konzern<br><br>4. Kartell<br><br>5. Interessengemeinschaft;3. Konzern
Die Omega-IT OHG ist aufgrund falscher Einschätzungen der zukünftigen Marktiage hoch verschuldet. Ihr Hauptlieferant hat kein Vertrauen mehr in die Zahlungsfähigkeit der Omega-IT OHG und will die OHG auf Zahlung derlängst fälligen Beträge verklagen. Nehmen Sie aufgrund des geschilderten Sachverhaltes zu folgenden Aussagen Stellung. Welche der folgenden Aussagen ist korrekt?<br><br>1. Der Lieferer kann nur die Omega-IT OHG als Gesellschaft verklagen, da es sich um Forderungen aus Warenlieferungen für das Unternehmen handelt.<br><br>2. Der Lieferer kann neben der Omega-IT OHG auch jeden einzelnen Gesellschafter verklagen.<br><br>3. Der Lieferer kann entweder die Omega-IT OHG als Gesellschaft oder den geschäftsführenden Gesellschafter auf Zahlung verklagen. Alle auf einmal zu verklagen ist nicht möglich.<br><br>;2. Der Lieferer kann neben der Omega-IT OHG auch jeden einzelnen Gesellschafter verklagen.
